序号,1级,2级,3级,级内,简称,网址,描述title,图标地址,版层分类,首要关键词,次要关键词,重点关键词,判断网址,判断图片,其他标签,图标像素,备案/未备案,经营性/非经营性,反链接
11206-11-10-104,11206,11,10,104,中国军网,http://www.81.cn/,解放军报社,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-105,11206,11,10,105,光明网,http://www.gmw.cn/, ,http://www.gmw.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,图标,,64,已备案,经营性,
11206-11-10-106,11206,11,10,106,中国经济网,http://www.ce.cn/, ,http://www.ce.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,,,16,已备案,经营性,
11206-11-10-107,11206,11,10,107,中国日报网,http://www.chinadaily.com.cn/, ,http://www.chinadaily.com.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,图标,,32,已备案,经营性,
11206-11-10-108,11206,11,10,108,央广网,http://www.cnr.cn/, ,http://www.cnr.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,图标,,16,已备案,经营性,
11206-11-10-109,11206,11,10,109,央视网,https://www.cctv.com/, ,https://www.cctv.com/favicon.ico,中国机构,媒体,中央媒体,,可访,图标,,16,已备案,经营性,
11206-11-10-110,11206,11,10,110,国际在线,http://www.cri.cn/, ,http://www.cri.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,,,16,已备案,经营性,
11206-11-10-111,11206,11,10,111,中国科技网,http://www.stdaily.com/,科技日报,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-112,11206,11,10,112,中国纪检监察报,http://www.jjjcb.cn/, ,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-113,11206,11,10,113,中工网,http://www.workercn.cn/,工人日报,http://www.workercn.cn/favicon.ico,中国机构,媒体,中央媒体,,可访,,,32,已备案,经营性,
11206-11-10-114,11206,11,10,114,中青在线,http://www.cyol.com/,中国青年报,http://www.cyol.com/themes/cyol/assets/images/cyol/cyol_logo.png,中国机构,媒体,中央媒体,,可访,,,72,已备案,经营性,
11206-11-10-115,11206,11,10,115,中国妇女网,http://www.cnwomen.com.cn/,中国妇女报,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-116,11206,11,10,116,中国农网,http://www.farmer.com.cn/,农民日报,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-117,11206,11,10,117,法制网,http://www.legaldaily.com.cn/,法制日报,,中国机构,媒体,中央媒体,,可访,,,,,,
11206-11-10-118,11206,11,10,118,中国新闻网,http://www.chinanews.com/,中新社,https://www.google.com/s2/favicons?domain=http://www.chinanews.com/,中国机构,媒体,中央媒体,,可访,,,,已备案,经营性,
11206-12-10-100,11206,12,10,100,中国网,http://www.china.com.cn/index.shtml, ,http://www.china.com.cn/favicon.ico,中国机构,媒体,其他,,可访,,,32,已备案,经营性,
11206-12-10-101,11206,12,10,101,正义网,http://www.jcrb.com/, ,http://www.jcrb.com/favicon.ico,中国机构,媒体,其他,,可访,,,32,已备案,经营性,
11206-12-10-102,11206,12,10,102,中国法院网,https://www.chinacourt.org/index.shtml, ,https://www.chinacourt.org/share/images/favicon.ico,中国机构,媒体,其他,,可访,图标,,16,已备案,经营性,
11206-12-10-103,11206,12,10,103,中国青年网,http://www.youth.cn/, ,,中国机构,媒体,其他,,可访,,,,已备案,经营性,
